개설학년,주관학과,과목명,수강인원,교수명,요일및시간
0,예술학과,미술의이해 (COMPREHENSION OF ART),20,전영백,화234
0,예술학과,미술의이해 (COMPREHENSION OF ART),20,전영백,수234
0,예술학과,미술의이해 (COMPREHENSION OF ART),20,손수연,월234
0,예술학과,미술의이해 (COMPREHENSION OF ART),20,이지연8,화789
0,교양과(서울),현대생활과디자인 (MODERN LIFE & DESIGN),20,김명규,목678
0,교양과(서울),현대생활과디자인 (MODERN LIFE & DESIGN),20,김명규,금678
0,교양과(서울),대중예술의이해 (UNDERSTANDING POPULAR ART),20,박기영1,수234
0,교양과(서울),대중예술의이해 (UNDERSTANDING POPULAR ART),20,박기영1,목234
0,교양과(서울),대중예술의이해 (UNDERSTANDING POPULAR ART),20,조영준1,화111213
0,교양과(서울),대중예술의이해 (UNDERSTANDING POPULAR ART),20,조영준1,수111213
0,교양과(서울),대중예술의이해(*) (UNDERSTANDING POPULAR ART),20,Douglas M. Holden,월345
0,예술학과,예술과건축 (AESTHETICS AND ARCHITECTURE),20,이순아,화234
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,박현아1,목678
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,박현아1,목91011
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,하미영,화567
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,하미영,수123
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,전체,양정수2
0,산업디자인전공,디지털디자인입문 (INTRODUCTION TO DIGITAL DESIGN),20,전체,양정수2
0,예술학과,시각과이미지 (VISUAL PERCEPTION AND IMAGE),20,이임수,월678
0,예술학과,시각과이미지 (VISUAL PERCEPTION AND IMAGE),20,김예경1,목234
0,교양과(서울),영어 (ENGLISH),10,Andrew John Monteith,"화34,금3"
0,교양과(서울),영어 (ENGLISH),10,Andrew John Monteith,"화56,금4"
0,교양과(서울),영어 (ENGLISH),10,Andrew John Monteith,"수23,금5"
0,교양과(서울),영어 (ENGLISH),10,Andro N. Paris,"화34,금3"
0,교양과(서울),영어 (ENGLISH),10,Andro N. Paris,"화56,금4"
0,교양과(서울),영어 (ENGLISH),10,Andro N. Paris,"수34,금5"
0,교양과(서울),영어 (ENGLISH),10,Bernard D. Wiley,"월56,목8"
0,교양과(서울),영어 (ENGLISH),10,Bernard D. Wiley,"화56,목6"
0,교양과(서울),영어 (ENGLISH),10,Bernard D. Wiley,"화78,목7"
0,교양과(서울),영어 (ENGLISH),10,Bo Ra Kim,"월12,수5"
0,교양과(서울),영어 (ENGLISH),10,Bo Ra Kim,"월5,화12"
0,교양과(서울),영어 (ENGLISH),10,Bo Ra Kim,"화5,수12"
0,교양과(서울),영어 (ENGLISH),10,Brad Holman,"화12,목2"
0,교양과(서울),영어 (ENGLISH),10,Brandon M. Harkins,"화34,금3"
0,교양과(서울),영어 (ENGLISH),10,Brandon M. Harkins,"화56,금4"
0,교양과(서울),영어 (ENGLISH),10,Brandon M. Harkins,"목34,금5"
0,교양과(서울),영어 (ENGLISH),10,Carmen A. Cheers,"월45,목2"
0,교양과(서울),영어 (ENGLISH),10,Carmen A. Cheers,"월6,목34"
0,교양과(서울),영어 (ENGLISH),10,Dorian Burns,"수45,목3"
0,교양과(서울),영어 (ENGLISH),10,Dorian Burns,"수78,목4"
0,교양과(서울),영어 (ENGLISH),10,Douglas M. Holden,"월7,수78"
0,교양과(서울),영어 (ENGLISH),10,Douglas M. Holden,"화4,수45"
0,교양과(서울),영어 (ENGLISH),10,Edward Gray,"월23,수7"
0,교양과(서울),영어 (ENGLISH),10,Edward Gray,"화12,수8"
0,교양과(서울),영어 (ENGLISH),10,Edward Gray,"화56,목2"
0,교양과(서울),영어 (ENGLISH),10,Edward Gray,"화78,목3"
0,교양과(서울),영어 (ENGLISH),10,Eun Jin Kim,"월34,수1"
0,교양과(서울),영어 (ENGLISH),10,Eun Jin Kim,"월56,수2"
